username,datetime,message
iancooperman,6033,SKILLS ISSUE
iancooperman,2024-01-03T03:48:39Z,- iancooperman opened issue: [6033](https://github.com/hackforla/website/issues/6033) at 2024-01-02 07:48 PM PST
iancooperman,2024-01-03T03:48:58Z,- iancooperman assigned to issue: [6033](https://github.com/hackforla/website/issues/6033#issuecomment-1874817060) at 2024-01-02 07:48 PM PST
iancooperman,2024-01-07T00:25:59Z,- iancooperman assigned to issue: [5958](https://github.com/hackforla/website/issues/5958#issuecomment-1879323557) at 2024-01-06 04:25 PM PST
iancooperman,2024-01-07T00:42:09Z,- iancooperman commented on issue: [5958](https://github.com/hackforla/website/issues/5958#issuecomment-1879896315) at 2024-01-06 04:42 PM PST
iancooperman,2024-01-07T00:45:25Z,- iancooperman commented on issue: [6033](https://github.com/hackforla/website/issues/6033#issuecomment-1879897066) at 2024-01-06 04:45 PM PST
iancooperman,2024-01-07T01:12:08Z,- iancooperman opened pull request: [6073](https://github.com/hackforla/website/pull/6073) at 2024-01-06 05:12 PM PST
iancooperman,2024-01-08T21:45:08Z,- iancooperman pull request merged: [6073](https://github.com/hackforla/website/pull/6073#event-11422864810) at 2024-01-08 01:45 PM PST
iancooperman,2024-01-11T03:52:52Z,- iancooperman assigned to issue: [5715](https://github.com/hackforla/website/issues/5715#issuecomment-1883806836) at 2024-01-10 07:52 PM PST
iancooperman,2024-01-11T03:58:15Z,- iancooperman commented on issue: [5715](https://github.com/hackforla/website/issues/5715#issuecomment-1886187028) at 2024-01-10 07:58 PM PST
iancooperman,2024-01-13T04:33:51Z,- iancooperman commented on issue: [5715](https://github.com/hackforla/website/issues/5715#issuecomment-1890303633) at 2024-01-12 08:33 PM PST
iancooperman,2024-01-16T01:57:57Z,- iancooperman commented on issue: [5715](https://github.com/hackforla/website/issues/5715#issuecomment-1892960255) at 2024-01-15 05:57 PM PST
iancooperman,2024-01-19T02:18:25Z,- iancooperman opened pull request: [6131](https://github.com/hackforla/website/pull/6131) at 2024-01-18 06:18 PM PST
iancooperman,2024-01-19T18:59:12Z,- iancooperman pull request merged: [6131](https://github.com/hackforla/website/pull/6131#event-11541084058) at 2024-01-19 10:59 AM PST
iancooperman,2024-01-20T18:01:40Z,- iancooperman assigned to issue: [6064](https://github.com/hackforla/website/issues/6064) at 2024-01-20 10:01 AM PST
